data;tipo;conteudo
21/6/24;poema;Nesse dia que celebra sua vida, meu maior presente é te amar, ontem, hoje e em cada versão do amanhã. Ti amu bbzuco
21/6/24;link;https://drive.google.com/file/d/1Xfvaf8aEBkxvQeME1pycH3DmIVXsTFjU/view?usp=drivesdk
22/6/24;poema;"""Amo como ama o amor. Não conheço nenhuma outra razão para amar senão amar."" — Fernando Pessoa"
22/6/24;link;spotify:track:7aQjPecQdIuNd1sz3KCDhD
23/6/24;poema;"""Para pequenas criaturas como nós, a vastidão é suportável apenas por meio do amor."" — Carl Sagan"
23/6/24;link;spotify:track:21iSFtrC2VHP3PfImVTglV
24/6/24;poema;"""Eu te amo como se amam certas coisas obscuras, secretamente, entre a sombra e a alma."" — Pablo Neruda"
24/6/24;link;spotify:track:754kgU5rWscRTfvlsuEwFp
25/6/24;poema;"""O amor não domina; ele cultiva."" — Johann Wolfgang von Goethe"
25/6/24;link;https://drive.google.com/file/d/1if4SrtawgJKzWPvrYTEks6zpnJd2Y9B2/view?usp=drive_link
26/6/24;poema;"""O amor é a única paixão que se paga com uma moeda que ela mesma fabrica."" — Stendhal"
26/6/24;link;spotify:track:745H5CctFr12Mo7cqa1BMH
27/6/24;poema;"""O amor é feito de uma única alma que habita dois corpos."" — Aristóteles"
27/6/24;link;spotify:track:5BCYtpbTyUQSMRwDVPb5wk
28/6/24;poema;"""Amar não é olhar um para o outro, é olhar juntos na mesma direção."" — Antoine de Saint-Exupéry"
28/6/24;link;spotify:track:7mnGQesk1TzQLzQ9bYWZPR
29/6/24;poema;"""Amar é sofrer. Para evitar o sofrimento, não se deve amar. Mas então sofre-se por não amar."" — Woody Allen"
29/6/24;link;spotify:track:7qkNf6D661jZI9yNqw27LA
30/6/24;poema;"""O amor é a força mais sutil do mundo."" — Mahatma Gandhi"
30/6/24;link;https://drive.google.com/file/d/17UiJzbHEfh4YPtyaKIag7HgY0-feE9mO/view?usp=drive_link
1/7/24;poema;"""O amor é a resposta, mas enquanto você espera pela resposta, o sexo levanta algumas questões bem interessantes."" — Woody Allen"
1/7/24;link;spotify:track:0bfvHnWWOeU1U5XeKyVLbW
2/7/24;poema;"""Uma cumplicidade muda, e tão secreta que, penso, talvez você nunca tenha percebido."" — Caio Fernando Abreu"
2/7/24;link;spotify:track:7H0UxIN751StFi2tznmHlg
3/7/24;poema;"""Amar é dormir ao lado de alguém que te cura de qualquer preocupação."" — Autor desconhecido"
3/7/24;link;spotify:track:1WN4uNclrDuczTO3bCr8s1
4/7/24;poema;"""O amor é companheirismo, presença, parceria. É recíproco, intenso e envolvente."" — Autor desconhecido"
4/7/24;link;https://drive.google.com/file/d/1LRA-FMixkU9AWPFi0qJ6uZpkegc6m08H/view?usp=drive_link
5/7/24;poema;"""Amar é segurar firme a mão do outro e sentir segurança suficiente pra entender que você estará presente."" — Autor desconhecido"
5/7/24;link;spotify:track:1H7zdcRD0gLGQY0w5ejGgX
6/7/24;poema;"""Amar é saber que ninguém é dono de ninguém."" — Autor desconhecido"
